ID	Gene_Symbol	U133A_Gene?	Subtyping_Signature_Gene?
705	ATAD3B		
706	ATAD3C		
707	ATAD5	YES	
708	ATAT1		
709	ATCAY		
710	ATF1	YES	
711	ATF2	YES	
712	ATF3	YES	
713	ATF4	YES	
714	ATF5	YES	
715	ATF6	YES	
716	ATF6B		
717	ATF7IP	YES	
718	ATG10		
719	ATG12	YES	
720	ATG14		
721	ATG2A	YES	
722	ATG2B	YES	
723	ATG3	YES	
724	ATG4A	YES	
725	ATG4B	YES	
726	ATG4C		
727	ATG4D		
728	ATG5	YES	
729	ATG9A	YES	
730	ATHL1	YES	
731	ATIC	YES	
732	ATL2		
733	ATL3		
734	ATM	YES	
735	ATMIN		
736	ATN1	YES	
737	ATOH8		
738	ATOX1	YES	
739	ATP10A	YES	
740	ATP10B	YES	
741	ATP10D	YES	
742	ATP11A	YES	
743	ATP11B	YES	
744	ATP11C		
745	ATP13A1	YES	
746	ATP13A2	YES	
747	ATP13A3	YES	
748	ATP13A4		
749	ATP13A5		
750	ATP1A1	YES	
751	ATP1A1OS		
752	ATP1A2	YES	
753	ATP1A4		
754	ATP1B2	YES	
755	ATP1B3	YES	
756	ATP2A1	YES	
757	ATP2B4	YES	
758	ATP5B	YES	
759	ATP5C1	YES	
760	ATP5D	YES	
761	ATP5E	YES	
762	ATP5EP2		
763	ATP5F1	YES	
764	ATP5G1	YES	
765	ATP5G2	YES	
766	ATP5G3	YES	
767	ATP5H	YES	
768	ATP5I	YES	
769	ATP5J	YES	
770	ATP5J2	YES	
771	ATP5L	YES	
772	ATP5L2		
773	ATP5S	YES	
774	ATP5SL		
775	ATP6AP1	YES	
776	ATP6AP1L		
777	ATP6AP2	YES	
778	ATP6V0A2	YES	
779	ATP6V0A4	YES	
780	ATP6V0B	YES	
781	ATP6V0C	YES	
782	ATP6V0D2		
783	ATP6V0E1	YES	
784	ATP6V0E2	YES	
785	ATP6V1B1	YES	
786	ATP6V1C2		
787	ATP6V1E2		
788	ATP6V1G1	YES	
789	ATP7A	YES	
790	ATP7B	YES	
791	ATP8B1	YES	
792	ATP8B2	YES	
793	ATP9B	YES	
794	ATPAF1		
795	ATPAF2	YES	
796	ATPBD4		
797	ATPIF1	YES	
798	ATR	YES	
799	ATRIP		
800	ATRN	YES	
801	ATRX	YES	
802	ATXN1	YES	
803	ATXN1L		
804	ATXN2	YES	
805	ATXN2L	YES	
